id,vegetable_id,price,market,date,price_variation,created_at,updated_at
419,35,1040,東京都,2025-04-22,101.4,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
420,36,549,東京都,2025-04-22,96.3,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
421,37,2509,東京都,2025-04-22,110.5,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
422,38,296,東京都,2025-04-22,98.3,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
423,39,370,東京都,2025-04-22,97.9,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
424,40,322,東京都,2025-04-22,86.8,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
425,41,460,東京都,2025-04-22,104.8,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
426,42,161,東京都,2025-04-22,98.2,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
427,43,1791,東京都,2025-04-22,108.3,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
428,44,1061,東京都,2025-04-22,101.1,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
429,45,941,東京都,2025-04-22,97.1,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
430,46,403,東京都,2025-04-22,100.8,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
431,47,318,東京都,2025-04-22,102.3,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
432,48,431,東京都,2025-04-22,100.2,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
481,1,116,東京都,2025-04-24,97.5,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
482,2,150,東京都,2025-04-24,100.0,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
483,3,281,東京都,2025-04-24,96.2,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
484,4,507,東京都,2025-04-24,87.6,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
485,5,528,東京都,2025-04-24,120.3,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
486,6,699,東京都,2025-04-24,105.1,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
487,7,81,東京都,2025-04-24,105.2,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
488,8,299,東京都,2025-04-24,93.7,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
489,9,309,東京都,2025-04-24,92.5,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
490,10,331,東京都,2025-04-24,95.7,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
491,11,123,東京都,2025-04-24,106.0,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
